Title: Hr

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 H2O 
500.00 1523.15 99.931212 49.3661 1.35891 14.6906 2.46989 9.80474 0.189065 7.00984 10.6528 2.1359 0.329147 0.155948 1.83701
500.00 1513.15 99.935961 49.3638 1.35885 14.6899 2.47621 9.79848 0.189056 7.00951 10.6523 2.1358 0.329131 0.155941 1.84103
500.00 1503.15 99.940827 49.3614 1.35878 14.6892 2.48293 9.79185 0.189047 7.00916 10.6518 2.13569 0.329115 0.155933 1.84512
500.00 1493.15 99.945812 49.3589 1.35871 14.6885 2.49005 9.78484 0.189037 7.00881 10.6513 2.13559 0.329099 0.155925 1.84929
500.00 1483.15 99.950919 49.3564 1.35864 14.6877 2.49759 9.77744 0.189028 7.00846 10.6507 2.13548 0.329082 0.155917 1.85354
500.00 1473.15 99.956152 49.3538 1.35857 14.687 2.50557 9.76964 0.189018 7.00809 10.6502 2.13536 0.329065 0.155909 1.85786
500.00 1463.15 99.961514 49.3511 1.3585 14.6862 2.51399 9.76142 0.189007 7.00771 10.6496 2.13525 0.329047 0.155901 1.86227
500.00 1453.15 99.967009 49.3484 1.35842 14.6854 2.52287 9.75276 0.188997 7.00733 10.649 2.13513 0.329029 0.155892 1.86676
500.00 1443.15 99.972640 49.3457 1.35835 14.6845 2.53222 9.74367 0.188986 7.00693 10.6484 2.13501 0.329011 0.155884 1.87134
500.00 1433.15 99.978411 49.3428 1.35827 14.6837 2.54206 9.73412 0.188976 7.00653 10.6478 2.13489 0.328992 0.155875 1.876
500.00 1423.15 99.984327 49.3399 1.35819 14.6828 2.55242 9.72409 0.188964 7.00611 10.6472 2.13476 0.328972 0.155865 1.88075
500.00 1413.15 99.990390 49.3369 1.35811 14.6819 2.56329 9.71358 0.188953 7.00569 10.6465 2.13463 0.328952 0.155856 1.8856
500.00 1403.15 99.471614 49.3883 1.36519 14.7585 2.57306 9.67601 0.188439 6.81961 10.7 2.14577 0.330668 0.156669 1.89785
500.00 1393.15 98.658538 49.4722 1.37644 14.8801 2.58148 9.61851 0.187571 6.52949 10.7848 2.16345 0.333393 0.15796 1.91458
500.00 1383.15 95.352539 49.5165 1.39967 15.245 2.59392 9.71274 0.193029 6.14469 10.5107 2.23398 0.344952 0.163437 1.94132
500.00 1373.15 90.764964 49.5588 1.42445 15.7545 2.60565 9.89043 0.202759 5.70865 10.0066 2.33909 0.362387 0.171697 1.97507
500.00 1363.15 86.648584 49.6258 1.44209 16.2408 2.61353 10.0442 0.21232 5.29318 9.51737 2.44233 0.379603 0.179854 2.00899
500.00 1353.15 81.550262 49.8181 1.48335 16.439 2.65306 10.3032 0.22373 4.88529 9.00737 2.55534 0.402757 0.191098 2.03778
500.00 1343.15 67.157808 53.0121 1.18183 16.6228 2.24009 8.36937 0.268537 4.24766 8.25619 2.92023 0.486107 0.232052 2.16307
500.00 1333.15 58.657551 54.7979 1.08591 16.4218 2.08447 7.61795 0.307461 3.75551 7.71971 3.16392 0.55344 0.265679 2.22621
500.00 1323.15 51.725562 56.486 1.01839 16.0533 1.9563 6.96728 0.348665 3.26932 7.31649 3.38036 0.623792 0.301284 2.27882
